q_1_0780	공무원이 당연퇴직되는 경우는 언제인가요?
q_1_0781	성폭력범죄로 벌금형을 받은 경우 공무원 결격사유가 되나요?
q_1_0782	미성년자 대상 성범죄를 저지르면 얼마나 오래 공무원이 될 수 없나요?
q_1_0783	국가공무원법 제69조를 신청할 때 유의사항이 있나요?
q_1_0784	국가공무원법 제69조에서 규정하는 당연퇴직 사유는 무엇인가요?
q_1_0785	국가공무원법 제69조의 일수는 어떻게 되나요?
q_1_0786	국가공무원법 제69조에 관한 기간과 횟수를 알려주세요.
q_1_0787	국가공무원법 제69조 관련 제한사항이 있나요?
q_1_0796	당연퇴직에서 (1) 국가공무원법 제69조에 대한 규정은 무엇인가요?
q_1_0799	교육공무원이 당연퇴직되는 사유에는 어떤 것들이 있나요?
q_1_0800	(1) 국가공무원법 제69조와 관련하여 임용권자의 역할은 무엇인가요?
q_1_0801	직권면직이 가능한 경우는 언제인가요?
q_1_0802	교육공무원의 결격사유에는 어떤 것들이 있나요?
q_1_0803	휴직 후 복귀하지 않으면 어떻게 되나요?
q_1_0805	교육공무원 특유의 결격사유가 있나요?
q_1_0807	교육공무원만의 별도 결격사유가 있나요?
q_1_0808	「교육공무원법」 제43조의2의 기간은 얼마나 되나요?
q_1_0809	「교육공무원법」 제43조의2의 일수는 어떻게 되나요?
q_1_0810	「교육공무원법」 제43조의2를 위반하면 어떻게 되나요?
q_1_0811	「교육공무원법」 제43조의2과 관련하여 금지되는 사항을 알려주세요.
q_1_0814	「교육공무원법」 제43조의2 관련 최근 변경사항이 있나요?
q_1_0817	직권 면직 신청 자격이 있는 사람은 누구인가요?
q_1_0824	학교장이 「교육공무원법」 제43조의2 관련하여 권한이 있나요?
q_1_0825	「교육공무원법」 제43조의2의 세부 기준을 설명해주세요.
q_1_0826	「교육공무원법」 제43조의2의 특이사항이나 예외 규정이 있나요?
q_1_0828	학교장이 직권 면직 관련하여 권한이 있나요?
q_1_0830	교원의 임용에서 (2) 「교육공무원법」 제43조의2가 중요한 이유는 무엇인가요?
