q_3_0100	청원휴직의 조건은 무엇인가요?
q_3_0101	청원휴직의 기간은 얼마나 되나요?
q_3_0102	청원휴직은 얼마나 인정되나요?
q_3_0104	청원휴직의 예외 사항이 있나요?
q_3_0106	만약 년 이상 연구 또는 연수하게 된 경우 어떻게 되나요?
q_3_0110	연수휴직의 기간과 조건은 어떻게 되나요?
q_3_0114	휴직 중에도 신분상 의무가 있나요?
q_3_0116	동반휴직은 어떤 경우에 가능한가요?
q_3_0122	가족돌봄휴직은 어떤 경우에 사용할 수 있나요?
q_3_0123	동반휴직(배우자 해외 동반)은 얼마나 할 수 있나요?
q_3_0124	자율연수휴직은 어떤 조건으로 사용할 수 있나요?
q_3_0127	휴직 중에도 공무원 신분이 유지되나요?
q_3_0128	휴직 중 정년이 되면 어떻게 되나요?
q_3_0129	휴직 기간 동안 다른 일을 해도 되나요?
q_3_0130	휴직의 효력 신청 자격이 있는 사람은 누구인가요?
q_3_0131	어떤 경우에 휴직의 효력이 가능한가요?
q_3_0132	휴직의 효력 신청 방법을 알려주세요.
q_3_0133	휴직의 효력의 처리 절차가 궁금합니다.
q_3_0134	휴직의 효력 기간은 어떻게 계산하나요?
q_3_0137	신규 교사가 휴직의 효력에 대해 알아야 할 사항은 무엇인가요?
q_3_0138	휴직의 효력과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_3_0139	학교장이 휴직의 효력 관련하여 권한이 있나요?
q_3_0141	휴직 기간 중 공무원의 신분과 복무 의무는 어떻게 되나요?
q_3_0143	휴직의 효력이 교원의 경력에 어떤 영향을 미치나요?
q_3_0144	결원보충이 가능한 휴직은 어떤 것들인가요?
q_3_0146	휴직자 결원보충은 언제부터 가능한가요?
q_3_0147	휴직하면 결원보충을 받을 수 있나요?
q_3_0148	휴직기간이 만료되었는데 복직하지 않으면 어떻게 되나요?
q_3_0149	휴직하면 결원보충이 되나요?
q_3_0150	휴직자 결원보충은 언제 가능한가요?
q_3_0151	휴직 시 결원보충은 어떻게 되나요?
q_3_0153	출산휴가와 육아휴직을 연속으로 사용할 수 있나요?
q_3_0154	휴직사유 소멸자의 복직절차를 하려면 어떤 요건이 필요한가요?
q_3_0155	휴직사유 소멸자의 복직절차의 조건은 무엇인가요?
q_3_0158	휴직사유 소멸자의 복직절차는 얼마나 인정되나요?
q_3_0160	휴직사유 소멸자의 복직절차의 법적 근거는 무엇인가요?
q_3_0162	인정구분에 대해 구체적으로 설명해주세요.
q_3_0163	인정구분을 신청할 때 유의사항이 있나요?
q_3_0165	인정구분에 관한 기간과 횟수를 알려주세요.
q_3_0168	개월 이상 사용하는 경우 어떤 절차를 밟아야 하나요?
q_3_0170	휴직업무처리 시 유의사항의 대상자는 누구인가요?
q_3_0171	어떤 경우에 휴직업무처리 시 유의사항이 가능한가요?
q_3_0172	휴직업무처리 시 유의사항 신청 방법을 알려주세요.
q_3_0174	휴직업무처리 시 유의사항은 몇 년까지 가능한가요?
q_3_0175	휴직업무처리 시 유의사항은 얼마나 인정되나요?
