q_3_0979	휴직신청서류는 몇 년까지 가능한가요?
q_3_0980	휴직기간 및 횟수에서 서류 제출 기한은 어떻게 되나요?
q_3_0982	휴직 및 복직에서 2-3. 불임·난임휴직이 중요한 이유는 무엇인가요?
q_3_0984	불임·난임휴직의 사유와 신청 요건은 무엇인가요?
q_3_0986	휴직의 요건의 실무 적용 시 주의해야 할 점을 알려주세요.
q_3_0987	불임휴직 중 임신하면 바로 육아휴직 가능한가요?
q_3_0989	복직절차 신청 방법을 알려주세요.
q_3_1001	경력평정에 대한 세부 절차를 알려주세요.
q_3_1003	휴직사유를 받을 수 있는 자격이 궁금합니다.
q_3_1004	휴직사유 기간은 어떻게 계산하나요?
q_3_1005	휴직사유는 몇 년까지 가능한가요?
q_3_1006	휴직사유가 적용되지 않는 경우는 언제인가요?
q_3_1010	휴직의 요건을 받을 수 있는 자격이 궁금합니다.
q_3_1011	휴직의 요건이 적용되지 않는 경우는 언제인가요?
q_3_1012	휴직의 요건의 사유는 어떤 것이 있나요?
q_3_1013	휴직의 요건 기간 중 신분은 어떻게 되나요?
q_3_1015	휴직기간 및 횟수를 받을 수 있는 자격이 궁금합니다.
q_3_1016	휴직가능 잔여기간을 모두 사용하고자 하나, 학기단위 휴직이 불가능한 경우 관련 규정이 어떻게 되나요?
q_3_1017	휴직사유에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_3_1019	휴직의 요건은 다른 규정과 어떤 관계가 있나요?
q_3_1020	가족돌봄휴직 규정의 주요 포인트를 설명해주세요.
q_3_1021	가족돌봄휴직의 사유에는 어떤 것들이 있나요?
q_3_1024	휴직사유 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_3_1026	가족돌봄휴직 신청 시 휴직 필요성은 어떻게 기재해야 하나요?
q_3_1027	가족돌봄휴직 승인 시 무엇을 확인해야 하나요?
q_3_1028	가족돌봄휴직 시 제출해야 하는 증빙서류는 무엇인가요?
q_3_1029	휴직신청서류에 해당하려면 어떤 조건을 충족해야 하나요?
q_3_1032	교사가 대상이 되는 가족의 돌봄과 직무수행을 병행하기 곤란한 경우 어떻게 해야 하나요?
q_3_1033	휴직신청서류에 대한 전반적인 내용을 요약해주세요.
q_3_1034	복직절차의 자격 요건이 어떻게 되나요?
q_3_1035	복직절차의 대상자는 누구인가요?
q_3_1036	교사가 질병 등이 치유된 경우 등 그 사유가 소멸된 경우 어떻게 해야 하나요?
q_3_1038	휴직 및 복직에서 복직절차가 중요한 이유는 무엇인가요?
q_3_1039	경력평정에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_3_1125	청원휴직의 개념이 궁금합니다.
q_3_1127	청원휴직의 대상자는 누구인가요?
q_3_1129	청원휴직 기간은 어떻게 계산하나요?
q_3_1138	교육공무원 청원휴직 심사기준의 조건은 무엇인가요?
