q_4_0666	겸직 허가기준의 조건은 무엇인가요?
q_4_0667	겸직 허가기준 신청 자격이 있는 사람은 누구인가요?
q_4_0668	겸직 허가기준은 몇 년까지 가능한가요?
q_4_0672	겸직 허가기준 관련 최근 변경사항이 있나요?
q_4_0679	겸직 허가 절차 기간은 어떻게 계산하나요?
q_4_0684	겸직 허가기준에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_0685	겸직 허가기준을 잘못 처리하면 어떤 문제가 생기나요?
q_4_0686	겸직 허가기준에서 가장 중요한 조건은 무엇인가요?
q_4_0690	복무에서 겸직허가가 중요한 이유는 무엇인가요?
q_4_0694	겸직 허가권자 : 소속 기관의 장(학교(원)장 등)가 교원의 경력에 어떤 영향을 미치나요?
q_4_0695	겸직 허가기준에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0696	타인의 유튜브에 출연해도 겸직허가가 필요한가요?
q_4_0697	겸직허가 실태조사는 언제 하나요?
q_4_0698	지인이 운영하는 유튜브에 출연만 하는 경우에도 겸직허가가 필요한가요?
q_4_0699	타인의 유튜브 채널에 출연하는 경우에도 겸직허가가 필요한가요?
q_4_0704	미디어에 출연하거나 기획 등 운영에 참여하는 경우 어떻게 처리하나요?
q_4_0706	실태조사 및 관리상 유의사항의 자격 요건이 어떻게 되나요?
q_4_0708	실태조사 및 관리상 유의사항의 절차는 어떻게 되나요?
q_4_0709	실태조사 및 관리상 유의사항을 위해 필요한 서류는 무엇인가요?
q_4_0710	실태조사 및 관리상 유의사항은 얼마나 인정되나요?
q_4_0714	실태조사 및 관리상 유의사항의 구체적인 적용 사례를 알려주세요.
q_4_0716	실태조사 및 관리상 유의사항을 잘못 처리하면 어떤 문제가 생기나요?
q_4_0718	겸직허가 규정의 주요 포인트를 설명해주세요.
q_4_0719	교원의 겸직 허가를 받으려면 어떤 절차를 거쳐야 하나요?
q_4_0721	겸직허가 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_4_0723	관련 질의·응답이 교원의 경력에 어떤 영향을 미치나요?
q_4_0724	교사가 외부 기관에서 강의하려면 어떤 절차를 밟아야 하나요?
q_4_0725	외부강의 신고는 언제, 어떻게 해야 하나요? 신고 안 해도 되는 경우도 있나요?
q_4_0726	외부강의 시 겸직허가는 언제 필요한가요?
q_4_0727	외부강의 신고는 어떻게 해야 하나요?
q_4_0728	「국가공무원 복무규정」제26조에 의한 겸직허가의 대상자는 누구인가요?
q_4_0729	「국가공무원 복무규정」제26조에 의한 겸직허가에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_0730	「국가공무원 복무규정」제26조에 의한 겸직허가를 위해 필요한 서류는 무엇인가요?
q_4_0731	「국가공무원 복무규정」제26조에 의한 겸직허가 신청 방법을 알려주세요.
