q_2_0146	순회교사 복무는 어떻게 관리하나요?
q_2_0152	복무는 어떻게 이루어지나요?
q_2_0169	농어촌 순회교원 수당 지급과 관련된 모든 규정을 정리해주세요.
q_2_0171	농어촌 순회교원 수당은 교육행정기관 소속 순회교사에게도 지급되나요?
q_2_0173	농어촌 순회교원 수당의 지급 요건과 확인 사항은 무엇인가요?
q_2_0174	교육행정기관에 소속을 두는 순회교사의 실무 적용 시 주의해야 할 점을 알려주세요.
q_2_0234	한 명의 교사가 두 곳을 순회하면 기안문을 몇 개 만드나요?
q_3_0017	남성도 육아휴직을 사용할 수 있나요?
q_3_0108	청원휴직에서 가장 중요한 조건은 무엇인가요?
q_3_0115	휴직 사유가 없어지면 언제까지 복직 신고해야 하나요?
q_3_0140	요건에 대한 세부 내용을 알려주세요.
q_3_0152	휴직 기간이 끝났는데 복직하지 않으면 어떻게 되나요?
q_3_0265	휴직과 관련된 법적 근거는 무엇인가요?
q_3_0293	처리과정 및 절차의 기준이 어떻게 되나요?
q_3_0316	휴직종류별 업무처리 요령에서 학교에서 구비할 서류(가) 질병, 육아, 가는 어떤 내용인가요?
q_3_0318	질병, 육아, 가족돌봄휴직의 본교 복직1. 인사기에 대해 자세히 설명해주세요.
q_3_0339	입영 준비 기간의 처리: 연가 사용 - 다)에 대해 자세히 설명해주세요.
q_3_0343	휴직이 적용되는 구체적인 사례를 알려주세요.
q_3_0358	공무원보수규정의 자격 요건이 어떻게 되나요?
q_3_0388	봉급에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_3_0430	휴직신청서류를 제출하려면 어떤 요건이 필요한가요?
q_3_0466	선정기준에 관한 규정이 최근에 어떻게 바뀌었나요?
q_3_0479	휴직사유의 대상자는 누구인가요?
q_3_0498	고용휴직의 요건과 신청 조건은 무엇인가요?
q_3_0523	복직에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_3_0539	상근근무와 비상근근무의 구별 기준을 충족하려면 어떤 요건이 필요한가요?
q_3_0565	수당에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_3_0635	휴직신청서류를 제출하려면 어떻게 해야 하나요?
q_3_0666	호봉승급: 승급기간에 미산입 - 나)결원보충:에 대해 자세히 설명해주세요.
q_3_0671	승급와 관련된 법적 근거는 무엇인가요?
q_3_0681	호봉승급: 100% 산입 - 나)결원보충: 6에 대해 자세히 설명해주세요.
q_3_0685	자율연수휴직의 허가 요건은 구체적으로 어떻게 되나요?
q_3_0726	휴직 시 제출서류를 분류하면 어떻게 되나요?
q_3_0733	복직 시 제출서류를 신청할 때 유의사항이 있나요?
q_3_0735	복직 시 제출서류에는 어떤 것들이 포함되나요?
q_3_0739	휴직종류별로 신청 시 제출해야 하는 서류는 무엇인가요?
q_3_0740	휴직 시 제출서류를 신청할 때 유의사항이 있나요?
q_3_0743	복직 시 제출서류를 제출하려면 어떻게 해야 하나요?
q_3_0744	복직 시 제출서류의 유형을 알려주세요.
q_3_0745	복직 시 제출서류의 산정 기준은 무엇인가요?
q_3_0746	복직 시 제출서류를 받을 수 있는 조건은 무엇인가요?
q_3_0747	복직 시 제출서류의 세부 기준을 설명해주세요.
q_3_0748	복직 시 제출서류에서 서류 제출 기한은 어떻게 되나요?
q_3_0752	휴직 시 제출서류를 위해 필요한 서류는 무엇인가요?
q_3_0753	휴직 시 제출서류의 절차는 어떻게 되나요?
q_3_0867	연가와 관련된 법적 근거는 무엇인가요?
q_3_0879	기타가 경력평정에 어떻게 반영되나요?
q_3_0880	기타가 적용되지 않는 경우는 언제인가요?
q_3_0911	육아휴직과 관련된 법적 근거는 무엇인가요?
q_3_0934	복직절차의 세부 기준을 설명해주세요.
q_3_0954	교사가 에 따라 육아휴직을 사용한 경우 어떻게 해야 하나요?
q_3_0968	휴직신청서류의 세부 기준을 설명해주세요.
